"Nazwa Zbioru","Indeks Randa","FM","Czas"
"cross.data.gz","0","0.499624671534746","1819.434701"
"zigzag.data.gz","0","0.661627541760517","262.862585"
"iris.data.gz","0.427555933269907","0.649533893737663","256.686687"
"s1.data.gz","0.551130479342422","0.601998658069632","2632.105107"
"bład","bład","bład","bład"
"engytime.data.gz","0","0.707020438090654","5499.723186"
"flame.data.gz","0","0.732037335856489","264.961022"
"unbalance.data.gz","0.987284546362644","0.99096749168362","4177.939028"
"a3.data.gz","0.155048899226034","0.278615450303374","2922.093905"
"square.data.gz","0","0.706752785278912","2049.286"
"target.data.gz","0","0.69627019963806","319.363956"
"tetra.data.gz","0","0.498116754136899","297.234387"
"iris5.data.gz","0","0.671229804574745","279.896154"
"atom.data.gz","0","0.706664147790317","2027.908887"
"s3.data.gz","0.0484989424297554","0.269044215270744","2893.981005"
