,,,,
Nazwa Zbioru,Indeks Randa,FM,Parametr M,Czas
a1.data.gz,0.485017323010009,0.573390991481463,20,32348.057427
a1.data.gz,0.686606117796243,0.722677182867198,22,35802.37832
a1.data.gz,0.698668024981273,0.735233727520964,26,10470.147995
a2.data.gz,0.577962297786422,0.636767039095256,35,44291.926105
a2.data.gz,0.371031789887593,0.480222917910365,37,36740.736642
a2.data.gz,0.617292731848597,0.665640916659094,41,38256.663944
a3.data.gz,0.239502178328433,0.373494982030498,50,93604.750645
a3.data.gz,0.386576597187182,0.491937313360963,52,510757.34481
a3.data.gz,0.242637749690208,0.378012883835605,56,90410.014729
aggregation.data.gz,0.621500008720885,0.698687644498071,7,4011.144261
aggregation.data.gz,0.934422791342628,0.948556641166171,9,2142.216384
aggregation.data.gz,0.935991873209768,0.949831252937211,13,2385.515553
atom.data.gz,0.818800263568448,0.90970346521029,2,2147.473295
atom.data.gz,1,1,4,2140.958055
atom.data.gz,1,1,8,2153.06676
chainlink.data.gz,0.925369402571726,0.962674549308547,2,2760.243143
chainlink.data.gz,1,1,4,2613.147285
chainlink.data.gz,1,1,8,2587.675088
compound.data.gz,0.419955107494571,0.548125995983446,6,3675.034997
compound.data.gz,0.478316137842316,0.603518884184134,8,2047.647766
compound.data.gz,0.479045862325125,0.603660187975752,12,1979.88572
cross.data.gz,0.704250965602246,0.778854565041682,4,5952.840833
cross.data.gz,0.299518178602867,0.4926730460603,6,5812.488765
cross.data.gz,0.949638358844979,0.962223604567952,10,5743.668877
d31.data.gz,0.455467223490568,0.544993535699778,31,10645.026122
d31.data.gz,0.455747307083766,0.544574774806686,33,9881.847722
d31.data.gz,0.524158048253813,0.595101635902766,37,9812.363178
dense.data.gz,0.670769398589193,0.835761857257358,2,3620.826778
dense.data.gz,0.960200080403878,0.980004059577927,4,314.576279
dense.data.gz,0.960200080403878,0.980004059577927,8,3612.943916
engytime.data.gz,0.3966100290904,0.703384017980419,2,36071.848625
engytime.data.gz,0.791423529358259,0.895811136573159,4,53985.370742
engytime.data.gz,0.672031903582816,0.836226168729473,8,61079.473605
flame.data.gz,-0.029571036662302,0.605220253605897,2,3573.850971
flame.data.gz,0.917551427269716,0.962050931491235,4,299.202443
flame.data.gz,0.317488471358458,0.67369905442149,8,3584.174549
fuzzyx.data.gz,0.621756988173008,0.702792500114369,5,2789.967361
fuzzyx.data.gz,0.548089874570039,0.647244344763538,7,2811.331246
fuzzyx.data.gz,0.51451941975989,0.622546449144769,11,2808.637578
hepta.data.gz,0.582068733254788,0.688194233425398,7,300.398206
hepta.data.gz,0.583506489044827,0.689610053799442,9,3595.260465
hepta.data.gz,0.595229350911553,0.696947838547409,13,296.567922
iris.data.gz,0.731198556770774,0.822169778544293,3,288.502062
iris.data.gz,0.442845613819862,0.677909746313331,5,3566.822269
iris.data.gz,0.744526430873875,0.830639419543784,9,288.1882
iris5.data.gz,0.259270865977228,0.614667043191741,3,281.471697
iris5.data.gz,0.374652547705669,0.619684492973755,5,3564.498607
iris5.data.gz,0.374652547705669,0.619684492973755,9,282.658751
jain.data.gz,0.324294809434371,0.700421308767935,2,325.501883
jain.data.gz,0.361543431465107,0.717912061404911,4,1951.765266
jain.data.gz,1,1,8,1975.071367
line.data.gz,0.509877202349172,0.812599279488462,2,3575.363551
line.data.gz,0.205001516924544,0.670333527187555,4,1976.606486
line.data.gz,0.288837213045678,0.709606193923788,8,303.50913
lsun.data.gz,0.439068058605267,0.638215777170382,3,2034.275041
lsun.data.gz,1,1,5,1976.568284
lsun.data.gz,1,1,9,1976.148242
