Nazwa Zbioru,Indeks Randa,FM,Parametr M,Czas
cross.data.gz,0.75050282667806,0.814043270887101,4,6705.476425
cross.data.gz,0.299843739528013,0.492879763051209,6,5795.806385
cross.data.gz,0.949638358844979,0.962223604567952,10,6202.149155
zigzag.data.gz,0.078890434062661,0.480610346343721,3,3302.563992
zigzag.data.gz,0.316756495650576,0.589085490960707,5,291.390984
zigzag.data.gz,0.457662211944392,0.670140296308196,9,3296.48763
iris.data.gz,0.696901514273496,0.801218888853363,3,3293.615197
iris.data.gz,0.433279187736222,0.628158999413279,5,266.797226
iris.data.gz,0.320513178152468,0.554668110480959,9,3297.542347
s1.data.gz,0.652229488324057,0.708647539721277,15,131809.507948
s1.data.gz,0.77238056917755,0.801047901425097,17,32278.993318
s1.data.gz,0.667868260889504,0.71455426464078,21,139258.318225
,,,,
,,,,
,,,,
engytime.data.gz,0.455229478181476,0.728722376753388,2,33680.796798
engytime.data.gz,0.787084803445307,0.894016258915147,4,46996.420051
engytime.data.gz,0.801886296948243,0.901370505281741,8,62720.425367
flame.data.gz,0.762620259159084,0.892766537567986,2,3296.900857
flame.data.gz,0.917551427269716,0.962050931491235,4,273.260073
flame.data.gz,0.253372020318449,0.646776375284071,8,3307.900215
unbalance.data.gz,0.505026220429581,0.63471439470795,8,257039.037377
unbalance.data.gz,0.590758113373147,0.707286488476707,10,277148.647567
unbalance.data.gz,0.507330720696764,0.638146963562136,14,271940.964668
a3.data.gz,0.382790300730701,0.487528166771841,50,96196.46144
a3.data.gz,0.53537435855747,0.602156893617421,52,95691.610575
a3.data.gz,0.535718768698474,0.604049136337306,56,95016.312959
square.data.gz,0.746246690802813,0.874196935458018,2,2307.237759
square.data.gz,0.589435144531844,0.800172864091678,4,2680.343138
square.data.gz,1,1,8,2701.620142
target.data.gz,0.393005053762048,0.621087298958308,6,3818.594307
target.data.gz,0.395689805400074,0.623231028268301,8,2148.122715
target.data.gz,0.251289627179,0.522388483298666,12,2150.972883
tetra.data.gz,1,1,4,3658.450205
tetra.data.gz,1,1,6,1998.340181
tetra.data.gz,1,1,10,1986.22417
iris5.data.gz,0.393970460758818,0.631778100109492,3,3606.557268
iris5.data.gz,0.231886218864674,0.54185939455274,5,283.372576
iris5.data.gz,0.279003961516695,0.562109087054647,9,3623.663279
atom.data.gz,0.814276014146166,0.907471830436243,2,2160.081351
atom.data.gz,1,1,4,2110.374127
atom.data.gz,1,1,8,2173.468761
s3.data.gz,0.488907248445189,0.551272950513121,15,32351.095648
s3.data.gz,0.612032926415008,0.648781736874404,17,127326.647928
s3.data.gz,0.50158771654526,0.562270524456995,21,131094.253113
Nazwa Zbioru,Indeks Randa,FM,Parametr M,Czas
Nazwa Zbioru,Indeks Randa,FM,Parametr M,Czas
