"","2011_2","2011_3","2011_4","2012_1","2012_2","2012_3","2012_4","2013_1","2013_2","2013_3","2013_4","2014_1","2014_2","2014_3","2014_4","2015_1","2015_2","2015_3","2015_4","2016_1","2016_2","2016_3","2016_4","2017_1","2017_2","2017_3","2017_4","2018_1","2018_2","2018_3","2018_4"
"palestine",0,0,0,0,0,0,0,0,0,1,1,2,1,14,5,1,0,3,1,2,0,0,2,4,2,1,5,4,3,3,3
"pakistan",0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,2,2,4,0,1,2,0,1,6,7,9,3,3,8,8,4
"kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"somalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"iraq",0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,0,2,1,4,1,2,4,3,3,1,3,0,0,0,1,0
"saudi arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"syria",0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,2,7,9,4,4,2,9,3,21,2,8,4,12,4,1
"israel",0,0,0,0,0,0,1,1,2,1,1,3,2,14,7,0,1,4,2,2,2,4,4,11,6,5,18,5,12,8,7
"iran",0,0,0,0,0,0,0,3,1,1,1,0,0,0,3,4,4,6,0,2,4,0,5,7,14,3,2,2,10,7,6
"jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"united arab emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1
"djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
"sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mauritania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"spain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,5,19,3,2,0,2
"portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"netherlands",0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,17,1,2,2,3,0,0,2
"denmark",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0
"germany",0,0,0,0,0,0,0,0,3,4,0,1,0,1,1,2,2,3,2,4,0,2,1,12,6,11,6,9,3,9,6
"switzerland",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,3,1,1,0,1,3
"estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"belgium",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1
"finland",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hungary",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,4
"nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"russian-federation",0,0,0,0,0,0,0,5,0,1,2,14,4,5,2,4,3,10,7,8,7,6,12,14,17,19,14,26,20,25,8
"niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"turkey",0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,4,1,6,5,0,8,2,5,16,3,6,2,10,12,5
"peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"italy",0,0,0,0,0,0,3,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,2
"kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"japan",0,0,0,0,0,0,0,1,1,0,1,0,2,1,5,3,3,0,2,0,7,0,0,2,2,10,2,2,0,2,1
"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,2,1,2,0,0,3,1,3
"kazakhstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"france",0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,0,2,0,1,3,2,1,3,6,19,3,5,8,1,5,5
"ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"canada",0,0,0,0,0,0,1,1,0,0,2,0,1,1,2,0,3,3,3,0,4,1,4,2,6,3,2,4,6,10,6
"chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ivory coast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"united-kingdom",0,0,0,0,0,0,6,5,3,2,4,5,6,6,5,7,18,8,14,7,57,15,15,51,101,27,34,36,28,57,78
"indonesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4
"czech republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bangladesh",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"united-states",0,0,0,0,0,0,71,82,44,65,94,51,29,40,64,22,35,46,48,124,134,114,333,377,225,214,189,177,182,198,230
"egypt",0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0
"india",0,0,0,0,0,0,1,2,3,4,3,2,6,6,2,4,3,4,0,1,3,2,3,17,16,17,9,5,11,6,10
"benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ghana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
